Date,Open,High,Low,Close,Adj Close
2020-01-02,3237.0,3261.75,3234.25,3259.0,3259.0
2020-01-03,3261.0,3263.5,3206.75,3235.5,3235.5
2020-01-06,3220.25,3249.5,3208.75,3243.5,3243.5
2020-01-07,3243.5,3254.5,3226.0,3235.25,3235.25
2020-01-08,3231.75,3267.75,3181.0,3260.25,3260.25
2020-01-09,3261.25,3276.75,3257.75,3276.0,3276.0
2020-01-10,3275.5,3287.0,3260.75,3264.75,3264.75
2020-01-13,3265.75,3291.0,3265.5,3289.75,3289.75
2020-01-14,3289.25,3296.75,3275.25,3288.0,3288.0
2020-01-15,3287.75,3299.0,3277.75,3293.75,3293.75
2020-01-16,3294.25,3318.0,3294.0,3316.5,3316.5
2020-01-17,3316.75,3330.25,3316.0,3325.0,3325.0
2020-01-21,3325.0,3329.75,3307.25,3319.5,3319.5
2020-01-22,3321.25,3337.5,3315.25,3319.75,3319.75
2020-01-23,3317.25,3327.0,3301.25,3326.0,3326.0
2020-01-24,3326.5,3337.0,3280.5,3293.5,3293.5
2020-01-27,3269.75,3269.75,3233.0,3239.5,3239.5
2020-01-28,3239.5,3285.0,3238.75,3278.25,3278.25
2020-01-29,3281.75,3292.75,3265.25,3272.5,3272.5
2020-01-30,3271.5,3295.25,3239.75,3289.75,3289.75
2020-01-31,3292.0,3297.5,3212.75,3224.0,3224.0
2020-02-03,3222.75,3267.25,3222.0,3245.5,3245.5
2020-02-04,3244.25,3305.25,3236.0,3299.5,3299.5
2020-02-05,3300.25,3338.0,3288.25,3335.0,3335.0
2020-02-06,3337.0,3357.75,3332.5,3345.25,3345.25
2020-02-07,3349.0,3350.0,3320.75,3325.5,3325.5
2020-02-10,3322.25,3353.5,3303.5,3353.0,3353.0
2020-02-11,3351.0,3374.5,3349.25,3357.5,3357.5
2020-02-12,3360.5,3381.5,3355.5,3380.5,3380.5
2020-02-13,3381.25,3384.75,3348.5,3377.5,3377.5
2020-02-14,3379.5,3388.5,3365.25,3381.0,3381.0
2020-02-18,3382.25,3392.5,3355.25,3369.25,3369.25
2020-02-19,3372.0,3393.75,3370.75,3387.25,3387.25
2020-02-20,3391.75,3397.5,3339.25,3369.25,3369.25
2020-02-21,3367.0,3369.25,3328.0,3339.25,3339.25
2020-02-24,3309.0,3312.0,3213.75,3226.25,3226.25
2020-02-25,3223.0,3259.5,3117.25,3132.5,3132.5
2020-02-26,3138.0,3182.0,3091.0,3110.25,3110.25
2020-02-27,3100.25,3117.0,2944.5,2957.0,2957.0
2020-02-28,2950.0,2996.0,2853.25,2951.0,2951.0
2020-03-02,2900.0,3093.25,2889.25,3065.0,3065.0
2020-03-03,3077.0,3137.0,2973.0,2997.0,2997.0
2020-03-04,2988.25,3129.5,2976.5,3114.75,3114.75
2020-03-05,3109.25,3113.75,2996.5,3015.5,3015.5
2020-03-06,3024.25,3037.0,2898.0,2964.0,2964.0
2020-03-09,2916.0,2916.0,2715.0,2747.75,2747.75
2020-03-10,2733.0,2884.75,2695.25,2865.75,2865.75
2020-03-11,2859.5,2869.5,2702.75,2740.25,2740.25
2020-03-12,2738.0,2774.0,2442.5,2469.0,2469.0
2020-03-13,2429.5,2707.75,2393.5,2696.0,2696.0
2020-03-16,2673.75,2675.0,2360.25,2416.25,2416.25
2020-03-17,2417.25,2554.5,2365.0,2495.5,2495.5
2020-03-18,2478.5,2498.0,2274.75,2414.0,2414.0
2020-03-19,2414.25,2474.0,2288.0,2403.25,2403.25
2020-03-20,2364.25,2512.75,2346.25,2437.97998046875,2437.97998046875
2020-03-23,2220.25,2386.0,2174.0,2220.5,2220.5
2020-03-24,2233.25,2447.75,2230.5,2438.0,2438.0
2020-03-25,2442.75,2560.75,2386.0,2467.0,2467.0
2020-03-26,2471.0,2625.75,2402.25,2608.0,2608.0
2020-03-27,2627.75,2634.5,2505.25,2524.0,2524.0
2020-03-30,2459.0,2621.75,2445.0,2611.25,2611.25
2020-03-31,2613.25,2635.75,2555.75,2569.75,2569.75
2020-04-01,2562.0,2562.25,2434.25,2448.0,2448.0
2020-04-02,2459.0,2525.0,2424.75,2516.5,2516.5
2020-04-03,2513.75,2529.5,2449.0,2482.75,2482.75
2020-04-06,2485.0,2668.5,2484.75,2644.5,2644.5
2020-04-07,2645.5,2750.0,2623.5,2642.0,2642.0
2020-04-08,2640.5,2752.5,2620.75,2735.0,2735.0
2020-04-09,2737.75,2809.5,2701.0,2779.75,2779.75
2020-04-13,2811.0,2819.5,2711.0,2759.25,2759.25
2020-04-14,2760.0,2846.0,2752.5,2843.0,2843.0
2020-04-15,2843.75,2845.5,2751.25,2775.0,2775.0
2020-04-16,2767.75,2831.5,2746.0,2787.5,2787.5
2020-04-17,2863.0,2885.0,2821.0,2870.0,2870.0
2020-04-20,2861.5,2875.5,2804.25,2806.5,2806.5
2020-04-21,2807.0,2833.25,2717.25,2732.0,2732.0
2020-04-22,2737.25,2808.0,2717.25,2788.5,2788.5
2020-04-23,2790.5,2836.75,2772.75,2780.75,2780.75
2020-04-24,2777.0,2835.0,2755.25,2829.5,2829.5
2020-04-27,2829.0,2881.25,2812.75,2869.0,2869.0
2020-04-28,2867.75,2913.5,2851.0,2867.25,2867.25
2020-04-29,2870.5,2959.75,2860.75,2941.0,2941.0
2020-04-30,2956.5,2965.0,2878.0,2902.5,2902.5
2020-05-01,2871.5,2879.75,2811.75,2821.75,2821.75
2020-05-04,2789.0,2835.75,2771.0,2825.25,2825.25
2020-05-05,2827.0,2889.75,2824.5,2858.25,2858.25
2020-05-06,2857.75,2886.25,2832.0,2833.5,2833.5
2020-05-07,2832.0,2895.0,2823.0,2880.0,2880.0
2020-05-08,2882.0,2933.0,2879.75,2928.5,2928.5
2020-05-11,2920.75,2947.0,2889.75,2922.75,2922.75
2020-05-12,2919.25,2939.25,2838.0,2852.5,2852.5
2020-05-13,2839.75,2876.75,2786.0,2813.0,2813.0
2020-05-14,2820.25,2853.75,2760.25,2847.0,2847.0
2020-05-15,2846.25,2863.5,2809.5,2846.5,2846.5
2020-05-18,2859.75,2964.75,2850.0,2948.0,2948.0
2020-05-19,2945.0,2976.25,2914.25,2918.75,2918.75
2020-05-20,2913.5,2975.75,2908.5,2968.5,2968.5
2020-05-21,2972.25,2973.5,2933.0,2937.0,2937.0
2020-05-22,2936.75,2957.5,2903.75,2953.0,2953.0
2020-05-26,2948.5,3019.75,2947.5,2994.5,2994.5
2020-05-27,2994.0,3039.5,2965.5,3035.5,3035.5
2020-05-28,3035.0,3065.5,3019.5,3038.0,3038.0
2020-05-29,3036.0,3058.25,2992.0,3042.0,3042.0
2020-06-01,3029.75,3059.0,3008.0,3054.0,3054.0
